2026-04-18 07:33:38 | INFO     | digital_twin.app     | ✅ CORS middleware configured
2026-04-18 07:33:38 | INFO     | digital_twin.app     | Security and compliance systems initialized
2026-04-18 07:33:38 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:33:38 | INFO     | digital_twin.app     | 🤖 Digital Twin AI System — Starting Up
2026-04-18 07:33:38 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:33:38 | INFO     | digital_twin.app     | 📦 Initializing database...
2026-04-18 07:33:38 | INFO     | digital_twin.app     | 🧠 Booting Digital Twin AI engines...
2026-04-18 07:33:38 | INFO     | digital_twin.app     |   ✅ Twin ready: CNC_MILL_01
2026-04-18 07:33:38 | INFO     | digital_twin.app     |   ✅ Twin ready: CONVEYOR_02
2026-04-18 07:33:38 | INFO     | digital_twin.app     |   ✅ Twin ready: HYDRAULIC_PRESS_03
2026-04-18 07:33:38 | INFO     | digital_twin.app     |   ✅ Twin ready: ROBOT_ARM_04
2026-04-18 07:33:38 | INFO     | digital_twin.app     |   ✅ Twin ready: COMPRESSOR_05
2026-04-18 07:33:38 | INFO     | digital_twin.app     | 📡 Starting sensor streams...
2026-04-18 07:33:38 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:33:38 | INFO     | digital_twin.app     | 🚀 System running on http://0.0.0.0:8000
2026-04-18 07:33:38 | INFO     | digital_twin.app     | 📊 Dashboard: http://0.0.0.0:8000/docs
2026-04-18 07:33:38 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:33:41 | INFO     | digital_twin.app     | 📡 WebSocket client connected: 5414654c-306e-4dd3-9b49-f3667efe45cc
2026-04-18 07:33:57 | INFO     | digital_twin.app     | 🌐 Setting up CORS middleware...
2026-04-18 07:33:57 | INFO     | digital_twin.app     |    Allowed origins: ['http://localhost:3000', 'http://localhost:8080', 'http://localhost:5173']
2026-04-18 07:33:57 | INFO     | digital_twin.app     | ✅ CORS middleware configured
2026-04-18 07:33:57 | INFO     | digital_twin.app     | Security and compliance systems initialized
2026-04-18 07:33:57 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:33:57 | INFO     | digital_twin.app     | 🤖 Digital Twin AI System — Starting Up
2026-04-18 07:33:57 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:33:57 | INFO     | digital_twin.app     | 📦 Initializing database...
2026-04-18 07:33:57 | INFO     | digital_twin.app     | 🧠 Booting Digital Twin AI engines...
2026-04-18 07:33:57 | INFO     | digital_twin.app     |   ✅ Twin ready: CNC_MILL_01
2026-04-18 07:33:57 | INFO     | digital_twin.app     |   ✅ Twin ready: CONVEYOR_02
2026-04-18 07:33:57 | INFO     | digital_twin.app     |   ✅ Twin ready: HYDRAULIC_PRESS_03
2026-04-18 07:33:57 | INFO     | digital_twin.app     |   ✅ Twin ready: ROBOT_ARM_04
2026-04-18 07:33:57 | INFO     | digital_twin.app     |   ✅ Twin ready: COMPRESSOR_05
2026-04-18 07:33:57 | INFO     | digital_twin.app     | 📡 Starting sensor streams...
2026-04-18 07:33:57 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:33:57 | INFO     | digital_twin.app     | 🚀 System running on http://0.0.0.0:8000
2026-04-18 07:33:57 | INFO     | digital_twin.app     | 📊 Dashboard: http://0.0.0.0:8000/docs
2026-04-18 07:33:57 | INFO     | digital_twin.app     | ============================================================
2026-04-18 07:33:58 | INFO     | digital_twin.app     | 📡 WebSocket client connected: e430ed65-5155-4b5c-b77d-918f6a4d5de9
2026-04-18 08:29:39 | INFO     | digital_twin.app     | 🌐 Setting up CORS middleware...
2026-04-18 08:29:39 | INFO     | digital_twin.app     |    Allowed origins: ['http://localhost:3000', 'http://localhost:8080', 'http://localhost:5173']
2026-04-18 08:29:39 | INFO     | digital_twin.app     | ✅ CORS middleware configured
2026-04-18 08:29:39 | INFO     | digital_twin.app     | Security and compliance systems initialized
2026-04-18 08:29:39 | INFO     | digital_twin.app     | ============================================================
2026-04-18 08:29:39 | INFO     | digital_twin.app     | 🤖 Digital Twin AI System — Starting Up
2026-04-18 08:29:39 | INFO     | digital_twin.app     | ============================================================
2026-04-18 08:29:39 | INFO     | digital_twin.app     | 📦 Initializing database...
2026-04-18 08:29:39 | INFO     | digital_twin.app     | 🧠 Booting Digital Twin AI engines...
2026-04-18 08:29:39 | INFO     | digital_twin.app     |   ✅ Twin ready: CNC_MILL_01
2026-04-18 08:29:39 | INFO     | digital_twin.app     |   ✅ Twin ready: CONVEYOR_02
2026-04-18 08:29:39 | INFO     | digital_twin.app     |   ✅ Twin ready: HYDRAULIC_PRESS_03
2026-04-18 08:29:39 | INFO     | digital_twin.app     |   ✅ Twin ready: ROBOT_ARM_04
